profil,id,score,score_wall_height,score_slope_compact,score_geology,score_south_aspect,score_access,vert_extent_m,area_m2,slope_mean_deg,slope_max_deg,slope_std_deg,aspect_mean_deg,elev_m,z_min_m,z_max_m,ndom_mean_m,geologie,geologie_klasse,geologie_eignung,im_schutzgebiet,schutzgebiet,dist_weg_m,weg_typ,centroid_e,centroid_n,lat,lon
05m,5,0.6503,0.7800,0.7272,0.6500,0.0159,0.9952,31.2000,88.0000,63.2261,73.5221,6.8198,14.4999,930.1192,917.2900,948.4900,0.7907,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,109.1574,tertiary,718878.1136,5182444.9318,46.7596,11.8663
05m,25,0.6347,0.4155,0.8414,0.7000,0.5399,1.0000,16.6200,44.0000,68.4861,75.3322,3.9641,265.4258,1106.4301,1097.5800,1114.2000,1.7426,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,7.6634,primary,721642.7500,5174351.7500,46.6860,11.8985
25m,8,0.6217,0.4887,0.9462,0.7000,0.1792,0.9455,19.5499,350.0000,52.0176,54.3381,1.3459,50.0870,1468.2143,1457.8101,1477.3600,-0.4315,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,203.5054,track,723560.1786,5175226.2500,46.6932,11.9240
25m,20,0.6116,0.5433,0.9038,0.7000,0.0046,1.0000,21.7301,275.0000,54.8008,59.3292,2.4055,352.2337,1786.9779,1775.9399,1797.6700,4.5030,Permo-jurassische Sedimentabfolge,gemischt_karbonat_werfener,0.7000,False,,83.0881,track,719056.2500,5173078.7500,46.6754,11.8641
05m,4,0.6110,0.4755,0.8164,0.6500,0.3421,1.0000,19.0190,64.0000,60.7493,69.0018,4.5891,71.5862,939.9794,929.6910,948.7100,1.1234,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,94.8127,tertiary,718842.3750,5182464.2500,46.7598,11.8658
05m,3,0.5703,0.4208,0.8610,0.6500,0.1389,1.0000,16.8300,64.0000,65.2058,69.4044,3.4747,43.7565,944.8445,936.2720,953.1020,0.4377,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,82.8793,tertiary,718810.0000,5182498.5000,46.7602,11.8654
05m,11,0.5482,0.3448,0.6624,0.6500,0.4335,1.0000,13.7900,44.0000,61.7717,70.9305,8.4405,277.6385,1474.2624,1468.8600,1482.6500,1.3107,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,5.4539,unclassified,724196.7500,5179511.7500,46.7315,11.9344
05m,20,0.5382,0.3920,0.8394,0.6500,0.0206,1.0000,15.6799,88.0000,58.9135,65.4533,4.0145,16.4997,1296.4539,1289.5200,1305.2000,0.6239,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,42.2338,footway,720204.2955,5178379.8409,46.7227,11.8816
05m,15,0.5279,0.2645,0.4520,0.6500,0.7660,1.0000,10.5800,40.0000,53.1736,64.0553,13.7001,237.8544,1002.5791,995.4710,1006.0510,0.6899,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,2.2772,service,720550.1500,5178815.1500,46.7265,11.8864
05m,19,0.5265,0.2458,0.3453,0.6500,0.9429,1.0000,9.8300,60.0000,40.8686,64.5440,16.3670,207.6571,1019.1162,1014.6530,1024.4830,0.4463,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,3.3309,primary,720717.8167,5178576.0167,46.7243,11.8885
05m,7,0.5072,0.3770,0.0956,0.6500,0.8406,1.0000,15.0800,104.0000,38.4156,65.8938,22.6107,227.0577,957.7050,950.2710,965.3510,0.2218,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,4.1687,service,719645.2885,5180068.2885,46.7380,11.8751
05m,2,0.4876,0.3940,0.0932,0.6500,0.6740,1.0000,15.7600,84.0000,39.4303,70.9965,22.6693,249.6364,875.8897,869.2660,885.0260,0.6597,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,67.7718,track,718872.9405,5182595.1786,46.7610,11.8663
05m,6,0.4345,0.4163,0.0220,0.6500,0.3630,1.0000,16.6500,212.0000,33.8394,68.2690,24.4499,285.9027,936.7834,930.7250,947.3750,0.2708,Niedriggradig metamorphes varisziches Grundgebirge: Brixen Quartzphyllit,mittel,0.6500,False,,0.1104,service,719442.0330,5180638.0896,46.7432,11.8728
